dataset,missingness_rate,method,picp,mpiw,calibration_error,n_missing
blood,0.1,BN-BGAN,0.24904214559386972,243.33496775916356,0.7009578544061302,261
blood,0.1,BGAN,0.9042145593869731,1399.8281305502421,0.04578544061302681,261
blood,0.2,BN-BGAN,0.2982791586998088,258.6778103040875,0.6517208413001911,523
blood,0.2,BGAN,0.8986615678776291,1475.0336088879683,0.05133843212237088,523
blood,0.3,BN-BGAN,0.20918367346938777,266.02506983905323,0.7408163265306122,784
blood,0.3,BGAN,0.9323979591836735,1329.3394985773944,0.017602040816326436,784
blood,0.4,BN-BGAN,0.22848948374760994,292.3259290939195,0.72151051625239,1046
blood,0.4,BGAN,0.9034416826003824,2122.2360386176447,0.04655831739961758,1046
blood,0.5,BN-BGAN,0.34659525631216526,190.53641582418226,0.6034047436878347,1307
blood,0.5,BGAN,0.9173680183626626,1919.1142691045889,0.03263198163733738,1307
