method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
BGAIN,MAR,complete_train,0.1,23.269922261090564,11.401296979893702,hepatitis
BGAIN,MAR,complete_train,0.2,30.824303037592507,10.31256806020464,hepatitis
BGAIN,MAR,complete_train,0.3,39.96634086992549,33.797121598615384,hepatitis
BGAIN,MCAR,complete_train,0.1,27.86666885458636,6.54160531315233,hepatitis
BGAIN,MCAR,complete_train,0.2,31.649641832640288,6.813594772133642,hepatitis
BGAIN,MCAR,complete_train,0.3,31.950065593640282,9.626726156805448,hepatitis
BGAIN,MNAR,complete_train,0.1,29.49186921389993,13.680227349266172,hepatitis
BGAIN,MNAR,complete_train,0.2,22.764461570870015,5.6069707321981355,hepatitis
BGAIN,MNAR,complete_train,0.3,24.19844316807642,2.9464189107923455,hepatitis
BN_AUG_Imputer,MAR,complete_train,0.1,20.383113702070236,6.5977872849271755,hepatitis
BN_AUG_Imputer,MAR,complete_train,0.2,24.741713721403205,6.0560311816378745,hepatitis
BN_AUG_Imputer,MAR,complete_train,0.3,24.34045386080914,1.9428205625330501,hepatitis
BN_AUG_Imputer,MAR,incomplete_train,0.1,21.894864707794927,5.061305066187554,hepatitis
BN_AUG_Imputer,MAR,incomplete_train,0.2,24.52869940569647,6.501731983196326,hepatitis
BN_AUG_Imputer,MAR,incomplete_train,0.3,24.321479167147317,2.4788494611300798,hepatitis
BN_AUG_Imputer,MCAR,complete_train,0.1,34.45082791988183,13.346583086703603,hepatitis
BN_AUG_Imputer,MCAR,complete_train,0.2,35.66936387180707,10.846018651277385,hepatitis
BN_AUG_Imputer,MCAR,complete_train,0.3,33.55463085155302,7.952019775060541,hepatitis
BN_AUG_Imputer,MCAR,incomplete_train,0.1,32.60356738830511,14.292256663383935,hepatitis
BN_AUG_Imputer,MCAR,incomplete_train,0.2,34.823332720068585,12.195602754032382,hepatitis
BN_AUG_Imputer,MCAR,incomplete_train,0.3,32.56720591694615,7.722745674882303,hepatitis
BN_AUG_Imputer,MNAR,complete_train,0.1,11.793931606459937,2.0895569904976674,hepatitis
BN_AUG_Imputer,MNAR,complete_train,0.2,10.6993677270677,1.7735985619478136,hepatitis
BN_AUG_Imputer,MNAR,complete_train,0.3,11.72881773167567,1.1044651967776185,hepatitis
BN_AUG_Imputer,MNAR,incomplete_train,0.1,13.219575442646478,2.8518153749148136,hepatitis
BN_AUG_Imputer,MNAR,incomplete_train,0.2,10.456711171796696,0.7122721956467726,hepatitis
BN_AUG_Imputer,MNAR,incomplete_train,0.3,11.848097700930971,2.1773684149254793,hepatitis
KNN,MAR,complete_train,0.1,18.514201883312715,4.898802272094237,hepatitis
KNN,MAR,complete_train,0.2,21.1147182595337,6.651190647221149,hepatitis
KNN,MAR,complete_train,0.3,21.67535509563174,3.3474937302742087,hepatitis
KNN,MAR,incomplete_train,0.1,18.514201883312715,4.898802272094237,hepatitis
KNN,MAR,incomplete_train,0.2,21.1147182595337,6.651190647221149,hepatitis
KNN,MAR,incomplete_train,0.3,21.67535509563174,3.3474937302742087,hepatitis
KNN,MCAR,complete_train,0.1,28.885333935357227,13.880055633633402,hepatitis
KNN,MCAR,complete_train,0.2,33.18424928617135,12.694422241954838,hepatitis
KNN,MCAR,complete_train,0.3,31.618404846260972,8.113137327183232,hepatitis
KNN,MCAR,incomplete_train,0.1,28.885333935357227,13.880055633633402,hepatitis
KNN,MCAR,incomplete_train,0.2,33.18424928617135,12.694422241954838,hepatitis
KNN,MCAR,incomplete_train,0.3,31.618404846260972,8.113137327183232,hepatitis
KNN,MNAR,complete_train,0.1,11.127997995341854,1.6538868731982832,hepatitis
KNN,MNAR,complete_train,0.2,10.94812778113879,1.0476602852964585,hepatitis
KNN,MNAR,complete_train,0.3,11.628317317109785,0.8735382904328471,hepatitis
KNN,MNAR,incomplete_train,0.1,11.127997995341854,1.6538868731982832,hepatitis
KNN,MNAR,incomplete_train,0.2,10.94812778113879,1.0476602852964585,hepatitis
KNN,MNAR,incomplete_train,0.3,11.628317317109785,0.8735382904328471,hepatitis
MICE,MAR,complete_train,0.1,38.31597152537053,3.587276961556098,hepatitis
MICE,MAR,complete_train,0.2,39.210876830458076,4.346809941090499,hepatitis
MICE,MAR,complete_train,0.3,40.30959771322684,5.964372443301682,hepatitis
MICE,MAR,incomplete_train,0.1,39.25968511035787,10.96763951340797,hepatitis
MICE,MAR,incomplete_train,0.2,38.21131482082075,4.377003281805881,hepatitis
MICE,MAR,incomplete_train,0.3,43.20286429151921,5.70862065398951,hepatitis
